,latitude,longitude,street_name,Volume,volume,velocity,flow,repaired,discontent
0,19.406209412582715,-99.16226641613498,Avenida Baja California,0.0324413986106927,0.0324413986106927,30,453600,0,441462.5522943063
1,19.410799688387,-99.15783099834545,Calle Toluca,0.0529632521810732,0.0529632521810732,13,184296,1,126891.90181151987
2,19.422209453544287,-99.1566485245094,Calle Frontera,0.0422078465346581,0.0422078465346581,41,453600,0,784964.6467129575
3,19.4043466863332,-99.16173061523492,Calle Torreón,0.0383674750126437,0.0383674750126437,25,453600,0,435087.16664337955
4,19.418118960816464,-99.17071928910102,Calle Cozumel,0.0252686738959472,0.0252686738959472,17,223524,1,96018.63608660093
5,19.41800853997345,-99.17069177858669,Calle Cozumel,0.0252676304149064,0.0252676304149064,17,223524,0,96014.67095464615
6,19.412989938733062,-99.16528752475104,Calle San Luis Potosí,0.0194978099971432,0.0194978099971432,16,302400,0,94338.20389017765
7,19.423989316451173,-99.16135829479718,Avenida Chapultepec,0.0473055555313234,0.0473055555313234,17,302400,0,243188.39987542733
8,19.405381120313773,-99.16040461287216,Calle Tehuantepec,0.0384336378171415,0.0384336378171415,19,239400,0,174819.24497504983
9,19.414629428424007,-99.15695091688708,Calle San Luis Potosí,0.041467820320835,0.041467820320835,16,302400,0,200637.90184032806
10,19.4017273341067,-99.16981580644794,Avenida Insurgentes Sur,0.0147513182472236,0.0147513182472236,12,604800,0,107059.16731105
11,19.41994771183644,-99.15607655154903,Calle Tabasco,0.0553340227532603,0.0553340227532603,15,378000,0,313743.90901098587
12,19.40716714029393,-99.16746555248191,Calle Tlaxcala,0.0457996392101918,0.0457996392101918,20,625632,0,573074.3975670143
13,19.42343404875429,-99.15776428232226,Calle Puebla,0.0274721742064068,0.0274721742064068,21,366408,1,211386.51253904315
14,19.421803734660102,-99.16652290508978,Calle Puebla,0.0263306503193903,0.0263306503193903,21,366408,1,202602.9793667704
15,19.42282990526794,-99.1655688555918,Avenida Monterrey,0.0263924743586111,0.0263924743586111,9,226800,0,53872.318660796984
16,19.40689526443857,-99.16449404730125,Calle Minatitlán,0.0304421299616829,0.0304421299616829,34,453600,0,469490.70512105833
17,19.41057109755161,-99.15786185010842,Calle Toluca,0.0364136074518458,0.0364136074518458,13,184296,0,87241.46858628985
18,19.419713313677853,-99.1680527143488,Calle Durango,0.0339846438249415,0.0339846438249415,19,302400,0,195262.1695605839
19,19.40832031160606,-99.166942283466,Calle Tlacotalpan,0.0300519784874646,0.0300519784874646,20,625632,0,376029.58810138906
20,19.404837308717383,-99.16677653476444,Calle Anahuac,0.0387241597519616,0.0387241597519616,25,453600,1,439131.97158724454
21,19.4184922801566,-99.15815760756216,Avenida Álvaro Obregón,0.0245273004607564,0.0245273004607564,19,453600,1,211386.08629098296
22,19.407397270919784,-99.166729376762,Calle Tlacotalpan,0.030079683204008,0.030079683204008,20,625632,0,376376.24724579864
23,19.40412447677881,-99.168772189448,Calle Chilpancingo,0.0322163252563249,0.0322163252563249,23,673092,0,498744.66838689556
24,19.419805638448597,-99.16681092727084,Calle Durango,0.0346199149542645,0.0346199149542645,19,302400,0,198912.18336122212
25,19.407677572544102,-99.167881021412,Avenida Insurgentes Sur,0.0439873681734507,0.0439873681734507,12,604800,0,319242.72325563576
26,19.412137668529382,-99.15816789556332,Calle Orizaba,0.0270111400798647,0.0270111400798647,16,201600,0,87127.13344161159
27,19.420799980167157,-99.16704178199716,Calle Sinaloa,0.0361388833055555,0.0361388833055555,17,453600,1,278674.1569457996
28,19.40739999148725,-99.16460667017664,Calle Minatitlán,0.0381997723888801,0.0381997723888801,34,453600,0,589132.1696902645
29,19.406099760572705,-99.16115938478112,Avenida Monterrey,0.0183833633141101,0.0183833633141101,9,226800,0,37524.12119676153
30,19.40455406401496,-99.15922866547444,Calle Bajío,0.0386073369049933,0.0386073369049933,25,453600,0,437807.20050262404
31,19.417870848678326,-99.16817723971224,Avenida Oaxaca,0.0258782367316525,0.0258782367316525,12,340200,0,105645.31363329817
32,19.42026261145891,-99.16950355361054,Calle Sinaloa,0.0200851936091913,0.0200851936091913,17,453600,1,154880.94495919594
33,19.408159039435358,-99.15997657094717,Calle Jalapa,0.052779169345006,0.052779169345006,19,239400,0,240071.32968269428
34,19.4193244004124,-99.17259788655976,Calle Guadalajara,0.0547162636845914,0.0547162636845914,19,302400,1,314377.7646261883
35,19.41313447533139,-99.16115982599322,Avenida Yucatán,0.0448432734206806,0.0448432734206806,25,302400,1,339015.14706034533
36,19.40705596590956,-99.16452990553752,Calle Minatitlán,0.0304531576896195,0.0304531576896195,34,453600,0,469660.77915238775
37,19.41115356378792,-99.16439550230402,Avenida Medellín,0.0223343616491608,0.0223343616491608,25,453600,0,253271.66110148345
38,19.42192238115325,-99.15657818052227,Calle Frontera,0.0407579993438021,0.0407579993438021,41,453600,0,758000.9685962939
